Tanggapan,SI,S_SI,I,S_I
"semoga internet di telkom lebih cepat , karena semua informasi serba online",0,1,1,0
semoga lebih baik lagi,0,1,0,1
keep it up and make it better,0,1,0,1
lebih ditingkatkan lagi,0,0,0,0
semoga makin baik kedepannya,0,1,0,1
Lanjutkan,0,1,0,1
tingkatkan keamanan web. tune lebih dikembangkan & disempurnakan lg,1,0,0,1
"sudah cukup bagus, pertahankan dan tingkatkan",0,1,0,1
.,0,0,0,0
Cukup,0,1,0,1
lebih ditingkatkan servernya,1,0,0,1
bagus,0,1,0,1
No suggestion,0,1,0,1
-,0,0,0,0
sudah baik,0,1,0,1
lebih baik lagi.,0,1,0,1
Sudah bagus dan tingkatkan lagi ke depan nya,0,1,0,1
tidak ada saran,0,1,0,1
baik,0,1,0,1
"perhatikan fasilitas untuk mahasiswa FIK, ada beberapa waktu dimana mahasiswa sampai harus meminjam ruang studio kampus universitas laion karena kampu tidak menyediakan tempat untuk belajar mata kuliah tertentu",1,0,0,1
-,0,0,0,0
sukses,0,1,0,1
sudah baik,0,1,0,1
saya merasa puas,0,1,0,1
tingkatkan,0,0,0,0
kemudahan memperoleh informasi sangat membantu saya,1,1,0,1
,0,0,0,0
ya,0,1,0,1
bagus,0,1,0,1
bagus,0,1,0,1
lebih ditingkatkan dalam memberikan informasi kepada mahasiswa,1,0,0,1
-,0,0,0,0
Tingkatkan lagi,0,0,0,0
kurang memuaskan,0,0,0,0
very good,0,1,0,1
bisa lebih mengantisipasi masalah apa yang mungkin bisa terjadi pada sistem sehingga penanganannya bisa cepat teratasi,1,0,0,1
sudah cukup baik,0,1,0,1
harus lebih baik lagi,0,0,0,0
"untuk sistem informasi masih harus diperbaiki, khususnya pada layanan sisfo nya.",1,0,0,1
baik,0,1,0,1
tingkatkan saja,0,0,0,0
semoga lebih dikembangkan dan memberikan layanan baru agar mahasiswa lebih medah mengakses dan mendapatkan informasi terbaru dengan mudah.,1,0,0,1
Cukup bagus,0,1,0,1
"wifi (tune telkomuniversity) masih lelet sehingga dapat menghambat pencarian informasi, maka dari itu di mohon untuk di perbaiki. terima kasih",1,0,1,0
Lebih baik lagi kedepannya,0,0,0,0
"harus lebih baik, konsistensi terhadap layanan",0,0,0,0
Layanannya sudah bagus,0,1,0,1
Sarannya didengar tidak?,0,0,0,0
mudahkan dalam menerima informasi,1,0,0,1
permudah akses,0,0,0,0
Perbaiki masalah server igracias yg sering down,1,0,0,1
"menurut saya, layanan sisfo di Telkom university sangat baik.",1,1,0,1
lebih dikembangkan,0,0,0,0
tidak ada,0,1,0,1
Berikan suatu aplikasi yang berisi berita2 up to date,1,0,0,1
lebih di perbaiki,0,0,0,0
puas,0,1,0,1
,0,0,0,0
Lebih praktis igracias di buat dalam bentuk aplikasi dalam smartphone,1,0,0,1
Tolong kalo ada kerusakan diperkbaiki secepatnya,0,0,0,0
baik,0,1,0,1
Cukup puas,0,1,0,1
"for the information system, igracias, overall its good",1,1,0,1
sangat baik,0,1,0,1
baik,0,1,0,1
Untuk layanan sistem informasi sudah sangat baik karena sangat cepat tanggap sekali namun saya lihat beberapa teman saya yg masih blm mempunyai KTM entah masalahnya itu ada dimana.,1,1,0,1
Lebih cepat lagi,0,0,0,0
sangat baik,0,1,0,1
"sudah sangat optimal,hanya saja terkadang sistem igracias sering error",1,0,0,1
"ditingkatkan lagi saja, sudah bagus",0,1,0,1
BAIK,0,1,0,1
cukup baik,0,1,0,1
berikan yang terbaik buat kami,0,0,0,0
"tidak semua informasi seperti lomba dan seminar diketahui oleh setiap mahasiswa, perbanyak mading di setiap sudut",1,0,0,1
layanan sistem informasi sudah bagus.,1,1,0,1
-,0,0,0,0
layanan sistem informasih sudah baik,1,1,0,1
pertahankan,0,1,0,1
ditingkatkan lagi,0,0,0,0
sudah baik,0,1,0,1
-,0,0,0,0
semoga semakin baik,0,1,0,1
lebih ditingkatkan lagi dengan penyampaian informasi yang jelas dengan landasan saing pedulinya atas kelancaran perkuliahan mahasiswa,1,0,0,1
Baik,0,1,0,1
Tingkatkan,0,0,0,0
tingkatkan,0,0,0,0
internet di ruangan masih sulit diakses untuk mahasiswa,0,1,1,0
cukup puas,0,1,0,1
Sudah bagus,0,1,0,1
sudah baik,0,1,0,1
cukup baik,0,1,0,1
lebih ditingkatkan,0,0,0,0
sudah baik,0,1,0,1
Tingkatkan mutu,0,0,0,0
Sudah bagus,0,1,0,1
"Untuk Layanan Sistem Informasi terkadang masih mengalami gangguan, seperti halnya dalam registrasi mata kuliah dan penginputan TAK. Mohon dikembangkan lagi.",1,0,0,1
Cukup,0,1,,1
"tune nya kadang suka gabsa masuk, jadi internetnya diperbaikin lagi yaa",1,0,1,0
nice,0,1,0,1
tingkatkan lagi,0,0,0,0
sudah baik,0,1,0,1
Tidaak adaa,0,1,0,1
gak pernah menerima kritik,0,0,0,0
Perbaiki,0,0,0,0
sangat membantu,0,1,0,1
Sebaiknya lebih ditingkatkan lagi,0,0,0,0
-,0,0,0,0
semoga lebih baik,0,1,0,1
"igracias jangan lemot dong, wifi kampus juga lemot. malu sama nama kampus",1,0,1,0
Cukup baik,0,1,0,1
lebih di tingkatkan lagi,0,0,0,0
"sudah cukup bagus, mungkin untuk komplain atau konsultasi melalui facebook mohon dilayani atau direspon dengan cepat",1,0,0,1
lanjut,0,1,0,1
Baik,0,1,0,1
baik,0,1,0,1
sudah baik,0,1,0,1
Sudah baik,0,1,0,1
semoga lebih baik lagi,0,0,0,0
agar selalu update saja,1,1,0,1
sudah bagus,0,1,0,1
Tidak ada,0,1,0,1
lebih ditngkatkan dalam memberi layanan bagi mahasiswanya,0,0,0,0
di gedung2 perkuliahan terkadang jaringan internet sering terputus-putus,0,1,1,0
jaringan diperbaiki lagi,0,0,1,0
harus lebih up to date,1,0,0,1
Agar lebih ditingkatkan lagi kinerja sistem informasi agar tidak ada informasi yang keliru,1,0,0,1
agar ditingkatkan lagi dalam pelayanannya sehingga kedepannya lebih baik,0,0,0,0
-,0,0,0,0
cukup,0,1,0,1
baik,0,1,0,1
sangat oke,0,1,0,1
Sudah cukup baik. namun diharapkan bisa lebih baik lagi,0,1,0,1
baik,0,1,0,1
Mantap,0,1,0,1
bagus,0,1,0,1
Sudah baik,0,1,0,1
bagus dan baik,0,1,0,1
di perbaiki lebih baik lagi,0,0,0,0
sudah oke,0,1,0,1
,0,0,0,0
lebih di tingkatkan lagi,0,0,0,0
saran saya terus tingkatkan,0,0,0,0
Tidak ada,0,1,0,1
its already good,0,1,0,1
Tingkatkan!,0,0,0,0
nothing,0,1,0,1
sudah cukup baik,0,1,0,1
Sistem presensi dan internet diperbaiki,1,0,1,0
-,0,0,0,0
ditingkatkan lagi,0,0,0,0
membuat polling terhadap layanan secara langsung/offline,1,0,0,1
Perbaiki dong saya udah bayar mahal masa gini gini aja udah gitu suka dipersuliy,0,0,0,0
sudah baik,0,1,0,1
diharapkan sisfo bisa berkembang dan helpdesk dibuat sedikit ramah,1,0,0,1
"igracias perlu terus dibenahi, terkadang mengalami masalah pada transkip nilai, down pada saat saat tertentu sehingga tidak dapat diakses untuk beberapa waktu, dan tidak dapat mengubah alamat yang sudah diisi pada profile user.",1,0,0,1
baik,0,1,0,1
ok,0,1,0,1
Tingkatkan lagi,0,0,0,0
Harap dapat menginformasikan lebih cepat dan lebih baik,0,0,0,0
sudah cukup memadai  hanya perlu ditingkatkan agar lebih baik lagi,0,1,0,1
"untuk akses nya lebih diperluas lagi, terus kalau i-gracias sedang banyak diakses biasanya gak bisa dibuka bahkan nginx",1,0,0,1
iya,0,1,0,1
sudah baik,0,1,0,1
"sebaiknya di gedung asrama ditambahkan pengeras suara agar jika ada pengumuman, tidak harus memanggil satu satu",0,1,0,1
smoga makin baik,0,1,0,1
cukup baik,0,1,0,1
Ya bagus,0,1,0,1
tune jelek,1,0,0,1
pertahankan kinerja kalau bisa diperbagus lagi,0,1,0,1
baik,0,1,0,1
Nice,0,1,0,1
bagus,0,1,0,1
lebih di perbesar kapasitas koneksi internet karena sangat lambat koneksinya,0,1,1,0
sudah cukup bagus dan tidak ada keluhan selama ini,0,1,0,1
sudah bagus,0,1,0,1
Di tingkatkan lagi,0,0,0,0
bagus,0,1,0,1
semoga lebih baik kedepannya,0,1,0,1
Sudah baik,0,1,0,1
sudah sangat baik,0,1,0,1
bingung,0,1,0,1
sudah baik,0,1,0,1
baik,0,1,0,1
ga ada,0,1,0,1
Trs dikembangkan,0,1,0,1
lebih di persimple pada desainya dan bisa menampung forum aspirasi mahasiswa,1,0,0,1
"pada saat registrasi matkul server jangan down, saat registrasi di awal server down, giliran nunggu servernya bener, ga kebagian kelas",1,0,0,1
sudah bagus,0,1,0,1
selama ini masih baik,0,1,0,1
"sudah baik, namun perlu ditingkatkan lagi.",0,1,0,1
Sejauh ini layanan sistem informasi Tel-U sudah cukup baik,0,1,0,1
mantap,0,1,0,1
internet gratis,0,1,1,1
-,0,0,0,0
"TOLONG TELKOM UNIVERSITY JANGAN CUMAN LUARNYA SAJA YANG DIPERCANTIK, DALAMNYA JUGA DONG",0,1,0,1
permudah akses igracias,1,0,0,1
Sudah baik,0,1,0,1
semakin ditingkatkan lagi,0,0,0,0
ditingkatkan lagi,0,0,0,0
Sudah baik hanya saja terkadang server down ketika kita sedang memakai tune dan itu hal yang penting,1,0,0,1
lebih ramah dan sabar ketika menghadapi yang datang,1,0,0,1
.,0,0,0,0
tidak ada saran,0,1,0,1
Kurang,0,0,0,0
"Beberapa layanan informasi kadang-kadang bermasalah, perlu untuk diperhatikan dan ditingkatkan kualitasnya",1,0,0,1
Sudah baik,0,1,0,1
setiam informasi harusnya diberitakan juga lewat email atau sms supaya informasi dari kampus sampai kepada mahasiswa,1,0,0,1
mungkin informasi tersebut dapat ditempel di mading khusus,1,0,0,1
"wifi memadai, tetapi tempatnya terlihat kusam harus banyak diperbaiki",0,0,1,1
"kordinasi harus lebih ditingkakan, menjaga miskomunikasi",1,0,0,1
masih harus ditingkatkan,0,0,0,0
tingkatkan kinerjanya,0,0,0,0
Ditingkatkan lagi layanan di Informasi,1,0,0,1
Lebih diperbaiki lagi,0,0,0,0
n,0,0,0,0
lumayan baik,0,1,0,1
sudah baik,0,1,0,1
lebih baik lagi kedepannya,0,0,0,0
sudah memadai,0,1,0,1
ditingkatkan lagi,0,0,0,0
sudah baik,0,1,0,1
more respond,0,0,0,0
"sudah baik, perlu ditingkatkan",0,1,0,1
Baik,0,1,0,1
sudah baik,0,1,0,1
sudah baik,0,1,0,1
Tidak ada,0,1,0,1
Baik,0,1,0,1
Lebih meningkatkan layanan terutama pada iGracias agar tidak sering down,1,0,0,1
perluas jaringan sinyal wifi,0,1,1,0
aaaa,0,0,0,0
lebih baik,0,0,0,0
seharusnya memberi informasi tidak terlalu mendadak,1,0,0,1
sangat puas,0,1,0,1
diperbaiki,0,0,0,0
menurut saya sudah cukup baik,0,1,0,1
sudah memuaskan,0,1,0,1
sudah jelas dan mempermudah informasi melaui sso,1,1,0,1
lebih responsif,1,0,0,1
,0,0,0,0
sudah baik,0,1,0,1
sangat bagus,0,1,0,1
terima kasih,0,1,0,1
"bandwidth internet perlu ditambah karena kondisi yang sekarang kurang memadai, kurang kencang, utk lingkungan riset di lab kurang mencukupi utk melakukan update server dan instalasi program berat, serta igracias dan email perlu lebih stabil lagi.",1,0,1,0
lebih ramah terhadap mahasiswa,1,0,0,1
Tidak ada,0,1,0,1
kembangkan lebih lagi,0,1,0,1
"cukup, tolong lebih ramah lagi",1,0,0,1
sudah lumayan bagus,0,1,0,1
sudah baik,0,1,0,1
Kurang tau,0,1,0,1
Semoga tetap memuaskan,0,1,0,1
-,0,0,0,0
Supaya lebih baik lagi,0,1,0,1
saran saya hanya perbaiki koneksi dan login tune agar bisa menjadi lebih baik di karenakan kebanyakan mahasiswa membutuhkan layanan tune,1,0,1,0
update terus infonya,1,0,0,1
dalam bidang informasi sudah baik,1,0,0,1
Perbaiki lagi,0,0,0,0
"seperti yang di ketahui, layanan sistem informasi sudah bagus. alan tetapi harus di tingkatkan lagi agar bisa lebih baik lagi",1,1,0,1
ok,0,1,0,1
baik,0,1,0,1
sudah cyukup bagus,0,1,0,1
agar lebih baik lagi agar tidak terjadi kesalahan kesalahan lagi,0,0,0,0
baik,0,1,0,1
tolong perbaki koneksi internet,0,1,1,0
sudah cukup,0,1,0,1
sudah baik,0,1,0,1
Lebih baik lagi yaaa,0,1,0,1
"cukup baik, tapi respon kurang cepat.",1,1,0,1
"Sudah bagus, tingkatkan lagi",0,1,0,1
"Informasi yang diberikan mudah ditangkap bagi mahasiswa,semoga kedepannya ditingkatkan lagi",1,1,0,1
enak,0,1,0,1
Diperkuat jaringan Layanan Tune dan Akses internet diluar kampus.,1,0,1,0
baik,0,1,0,1
Ditingkatkan lagi,0,0,0,0
Sudah cukup bagus,0,1,0,1
-,0,0,0,0
Semangat,0,1,0,1
"sedikit dikurangi gangguan pada tunenya, karena tune sangat dibutuhkan di ruang lingkup TEL-U",1,0,0,1
semoga bisa lebih ditingkatkan,0,0,0,0
"DALAM LAYANAN AKADEMIK SUDAH SANGAT BAGUS, LEBIH DI TINGKATKAN LAGI",1,1,0,1
mohon ditingkatkan,0,0,0,0
layanan informasi pembuatan ktm baru di baa kurang jelas,1,0,0,1
-,0,0,0,0
sudah baik,0,1,0,1
Sudah mempuni.,0,1,0,1
Jangan berhenti mencari yang lebih baik,0,0,0,0
good,0,1,0,1
sudah baik,0,1,0,1
Sudah cukup baik,0,1,0,1
-,0,0,0,0
mungkin informasi bisa menampilkan di seluruh wilayah kampus sehingga orang bisa tahu kegiatan selruh fakultas,1,0,0,1
Semangat,0,1,0,1
"Yang terpentung, TUNE sebaiknya lebih diperbaiki lagi.",1,0,0,1
Sudah baik,0,1,0,1
Lebih banyak informasi tentang beasiswa bagi mahasiswa/i yang berprestasi.,1,0,0,1
lebih baik lagi,0,0,0,0
ya,0,1,0,1
Sudah baik dalam melayani mahasiswa,0,1,0,1
informasi masih kurang dari telkom,1,0,0,1
update mengenai informasi apa pun itu tolong lebih disikapi dan lebih gesit dalam memberi dan menerima informasi atau kritikan.,1,0,0,1
sudah sesuai dan memudahkan mahasiswa,0,1,0,1
Sangat buruk,0,0,0,0
lebih meningktakan kualitas internet,0,1,1,0
Sudah mantap,0,1,,1
sudah baik,0,1,0,1
lebih ditingkatkan,0,0,0,0
"Sudah sangat baik, tetapi perlu di kembangkan lagi kekurangan2nnya.",0,1,0,1
berharap menjadi universitas yg dikenal nusantara bahkan dunia,0,0,0,1
baik,0,1,0,1
Banyak nya masalah di tuen,0,0,0,0
-,0,0,0,0
-,0,0,0,0
baik,0,1,0,1
sudah bagus,0,1,0,1
,0,0,0,0
tidak ada,0,1,0,1
"Itu pembayaran sks untuk mahasiswa diluar masa studi kenapa jadi tiba2 naik? Kenapa seenaknya? Kok gaada persetujuan atau surat edaran dari awal semester harga per sks sewaktu2 berubah atau akan ada kenaikan. Yg saya tau harganya akan berubah di awal tahun 2017/semester 13. Tolong bereskan sistem anda dan tolong lah jangan merugikan mahasiswanya. Mulai dari presensi kehadiran, ketidak sesuaian nilai, jadwaldan sekarang masalah pembayaran. Kasihan kan yg tiba2 gabisa cetak jadwal ujian karena tiba2 ada hutang 8jt di tagihannya. Yang bener aja dong jangan hanya bisanya menyalahkan sistem. Lah kan anda yg mengatur sistem, anda kerja disana. Itu tanggung jawab anda. Bukan tanggung jawab mahasiswa.",1,0,0,1
-,0,0,0,0
sudah cukup,0,1,0,1
HAHAHAHAHAHA,0,0,0,0
menurut saya sudah cukup baik,0,1,0,1
Lebih jelas dan pasti,0,0,0,0
di perbaiki lebih baik lagi,0,0,0,0
"i-gracias dan tune jangan sering eror dong pliss...bikin kerjaan jadi gk enal juga kalau sering eror gitu,  sekarang tune tu kenapa sering mati-mati sendiri ya,,, mana gk bisa dipakaidobel lagi ...:'(",0,0,0,1
tidak ada saran,0,1,0,1
bagus,0,1,0,1
sudah baik,0,1,0,1
lebih ditingkatkan keramahannya terhadap penguncuk atau clientnya,1,0,0,1
already good,0,1,0,1
Increase the information if we want to ask,0,0,0,1
saat penabsenan masih suka tidak terdetek,1,0,0,0
sudah memadai,0,1,0,1
Tingkatkan,0,0,0,0
Di perlancar lagi layanan nya,0,0,0,0
-,0,0,0,0
sudah baik tapi semoga bisa jauh lebih baik lagi,0,1,0,1
Layanan sistem informasinya sudah cukup memuaskan,1,1,0,1
sudah bagus,0,1,0,1
Sudah baik.,0,1,0,1
"Untuk informasi sudah baik, karena semua masalah yang ada di kampus kita sudah mengetahui dengan cepat",1,0,0,1
tidak pelit koneksi internet,0,1,1,0
baik,0,1,0,1
lebih di tingkatkan lagi ya layanannya,0,0,0,0
Adanya faslitas yang harus diperbaiki atau diganti dikarenakan rusak dan sudah tidak nyaman,0,0,0,0
layanan akademiknya lebih ditonjolkan lagi dalam proses melayani,1,0,0,1
baik,0,1,0,1
bagus,0,1,0,1
lebih baik lagi ya,0,0,0,0
lebih ditingkatkan lagi dalam layanan sistem informasi,1,0,0,1
bidang layanan sistem informasi sudah sangat memuaskan,1,1,0,1
Tingkatkan lagi,0,0,0,0
harus lebih baik lagi,0,0,0,0
sejauh ini mendapat layanan yang baik. alhamdulillah,0,1,0,1
cukup,0,1,0,1
sudah bagus di perbaiki lagi,0,1,0,1
baik,0,1,0,1
...,0,0,0,0
"untuk layanan sistem informasi sudah cukup memadai, hanya saja akses internet yang disediakan perlu ditingkatkan sehingga untuk seluruh wilayah yang ada di wilayah telkom dapat dengan mudah memanfaatkan fasilitas yang diberikan oleh telkom yaitu tune",1,1,1,0
semoga pelayananya bias ditingkatkan lagi,0,0,0,0
Bagus,0,1,0,1
lebih ditingkatkan lagi,0,0,0,0
lebih ditingkatkan lagi,0,0,0,0
sudah baik,0,1,0,1
-,0,0,0,0
-,0,0,0,0
Halo,0,0,0,0
lebih baik lagi,0,0,0,0
sangat memuaskan,0,1,0,1
sudah baik,0,1,0,1
Tingkatkan lagi,0,0,0,0
tidak ada,0,0,0,0
Bagus,0,1,0,1
,0,0,0,0
Semoga errornya berkurang,1,0,0,1
lebih banyak belajar,0,1,0,1
tolong sedikit lebih ramah,1,0,0,1
tingkatkan,0,0,0,0
lebih ditingkatkan,0,0,0,0
lebih ditingkatkan lagi,0,0,0,0
Yo wes lumayan si,0,1,0,1
bagus sekali,0,1,0,1
semoga lebih baik kedepannya,0,0,0,0
Bagus,0,1,0,1
"sistem informasi di universitas telkom sudah cukup bagus, mudah untuk diakses",1,1,0,1
sangat bagus layanannya,0,1,0,1
bagus,0,1,0,1
cukup baik,0,1,0,1
"Layanan SI sudah dapat melayani mahasiswa dengan baik. Dari segi akses internet hotspot, sering kali mendapatkan limited access sehingga sulit untuk melakukan login di website TUNE. Penggunaan RFID untuk absensi pun sudah berjalan dengan sangat baik.",1,1,1,0
semoga internet tel-u bisa lebih cepet,0,1,1,0
evaluasi mana yang belum efektif,0,0,0,0
Sistem informasi juga sudah sangat baik,1,1,0,1
sudah cukup,0,1,0,1
good,0,1,0,1
lebih ramah terhadap mahasiswanya,1,0,0,1
Kurang tersampaikan kepada seluruh mahasiswa,1,0,0,1
interfacenya bagus,1,1,0,1
mohon untuk masalah tapping rfid mohon di optimalkan sehingga tidak banyak kendala mahasiswa pada absensi mahasiswa,1,0,0,1
Sudah cukup baik cuma masih ada beberapa faktor yang perlu diperbaiki,0,1,0,1
Diperbaiki lagi,0,0,0,0
cukup baik,0,1,0,1
Cukup baik,0,1,0,1
sudah bagus,0,1,0,1
Perbaiki,0,0,0,0
Tidak ada,0,1,0,1
penggunaan absensi card readernya di perbaikki,1,0,0,1
tingkatkan lagi,0,0,0,0
baik,0,1,0,1
bagus,0,1,0,1
diperbaik kembali,0,0,0,0
Dipercanggih lagi,0,0,0,0
It's enough. No need any addition,0,1,0,1
agar akses diperlancar,0,0,0,0
SUDAH BAGUS,0,1,0,1
cepat ditanggapi,0,0,0,0
Lebih baik lagi,0,0,0,0
good,0,1,0,1
Layanan sistem informasi yang ada sudah memadai.,1,1,0,1
"Kebersihan yang kurang , mohon dilingkup GKU dan tempat saluran lebih diperbaiki ,karena kurang enak dilihat",0,1,0,1
"tidak ada saran, karena sudah bagus.",0,1,0,1
oke,0,1,0,1
"Server selalu down ketika dibutuhkan,",1,0,0,1
sistem informasi cukup memuaskan,1,1,0,1
baik,0,1,0,1
good,0,1,0,1
Tingkatkan,0,0,0,0
Puas,0,1,0,1
lebih di maksimalkan lagi,0,0,0,0
a,0,0,0,0
tune dan presensi lebih disempurnakan lagi,1,0,0,1
wifi dibagusin lagi,0,1,1,0
sangat bagus,0,1,0,1
tidak ada saran,0,1,0,1
sudah baik,0,1,0,1
Pertahankan,0,1,0,1
ditingkatkan,0,0,0,0
bagus,0,1,0,1
sudah cukup baik,0,1,0,1
-,0,0,0,0
saya sangat yerbantu dengan pelayanan yang serba mudah melalui sistem informasi,1,1,0,1
Cukup,0,1,0,1
lebih di tinggkat kembali,0,1,0,1
Gatau,0,1,0,1
lebih dishare lagi info info tentang kegiatan kampus baik itu workshop atau pelatihan dll,1,0,0,1
Lanjutkan,0,1,0,1
,0,0,0,0
Sebaiknya cepat respon terhadap kendala yang dihadapi mahasiswa/i,0,0,0,0
sudah baik,0,1,0,1
sistem informasi sering mengalami masalah,1,0,0,1
sudah bagus,0,1,0,1
lanjutkan,0,1,0,1
"Agar sistem penghubung mahasiswa dengan pelayanan akademik seperti igracias agar lebih user friendly dan stabil, karena sering mengalami error terutama pada saat penting seperti ketika registrasi",1,0,0,1
Sudah baik.,0,1,0,1
Speed inet,0,1,1,0
sudah baik,0,1,0,1
sudah baik,0,1,0,1
sering di update,1,0,0,1
-,0,0,0,0
sistem belum semua berjalan dengan seharusnya,1,0,0,1
harusnya akses tune bisa lebih dari 1 device,1,0,0,1
sudah cukup baik dan semoga bisa menjadi lebih baik,0,1,0,1
Kurang memadai harap di tingkatkan,0,0,0,0
baik,0,1,0,1
sangat puas,0,1,0,1
Layanan sistem informasi di Telkom University sudah baik.,1,1,0,1
pelayannya harus lebih ramah lagi,1,0,0,1
Lebih ditingkatkan,0,0,0,0
sangat bagus,0,1,0,1
Tingkatkan lagi masih kurang,0,0,0,0
baik,0,1,0,1
"Di gedung Tokong Nanas susah sekali untuk mengakses Tune, mohon ditingkatkan",1,0,0,1
cukup,0,1,0,1
puas,0,1,0,1
cukup bagus dan di tingkatkan lagi,0,1,0,1
Pelayanan Wifi Telkomuniversit di kantin BEC,0,1,1,0
lebih diperluas lagi informasi yang diberikan tidak hanya lewat igracias tapi bisa dari media komunikasi lainnya,1,0,0,1
tingkatkan terus pelayanannya,0,0,0,0
awesome,0,1,0,1
Terus tingkatkan pelayanan seprima mungkin,0,0,0,0
-,0,0,0,0
dalam memberikan informasi sudah bagus,1,1,0,1
layanan sistem informasi sudah berjalan dengan baik,1,1,0,1
-,0,0,0,0
sudah bagus,0,1,0,1
Sudah bagus,0,1,0,1
semoga info mengenai registrasi seperti hari terakhir mencetak ksm dll lebih di iingatkan lagi melalui sms kalau bisa atau membuat OA di line sehingga info dapat mudah didapatkan...,1,0,0,1
Cukup baik,0,1,0,1
lebih di tingkatkan,0,0,0,0
sudah bagus,0,1,0,1
bagus,0,1,0,1
"perbaiki lagi, masih sangat buruk",0,0,0,0
cukup bagus tingkatkan,0,1,0,1
terima kasih,0,1,0,1
good,0,1,0,1
bagus,0,1,0,1
,0,0,0,0
sudah baik,0,1,0,1
tolong lebih ramah,1,0,0,1
sudah baik,0,1,0,1
cukup,0,1,0,1
sudah bagus,0,1,0,1
,0,0,0,0
lebih baik,0,1,0,1
sudah bagus,0,1,0,1
Layanan sistem informasi sudah cukup baik.,1,1,0,1
